time_ms,cpu_usage,workers_active
8548,100.00,8
8560,100.00,8
8573,100.00,8
8586,100.00,8
8598,100.00,8
8610,100.00,8
8623,100.00,8
8636,100.00,8
8648,100.00,8
8661,100.00,8
8673,100.00,8
8686,100.00,8
8698,100.00,8
8710,95.00,7
8723,100.00,8
8735,100.00,8
8746,100.00,8
8757,100.00,8
8769,100.00,8
8781,100.00,8
8794,100.00,8
8806,100.00,8
8820,100.00,8
8831,100.00,8
8844,100.00,8
8856,100.00,8
8869,100.00,8
8881,100.00,8
8894,100.00,8
8906,100.00,8
8918,100.00,8
8931,100.00,8
8943,100.00,8
8956,100.00,8
8966,100.00,8
8978,100.00,8
8990,100.00,8
9003,100.00,8
9015,100.00,8
9027,100.00,8
9040,100.00,8
9052,100.00,8
9065,100.00,8
9077,100.00,8
9090,100.00,8
9102,100.00,8
9115,100.00,8
9127,100.00,8
9139,100.00,8
9151,100.00,8
9164,100.00,8
9175,100.00,8
9188,100.00,8
9200,100.00,8
9213,100.00,8
9225,100.00,8
9238,100.00,8
9251,100.00,8
9262,100.00,8
9274,100.00,8
9287,100.00,8
9298,100.00,8
9310,100.00,8
9323,100.00,8
9336,100.00,8
9348,100.00,8
9361,100.00,8
9373,100.00,8
9386,100.00,8
9398,100.00,8
9411,100.00,8
9423,100.00,8
9436,100.00,8
9448,100.00,8
9460,100.00,8
9473,100.00,8
9485,100.00,8
9498,100.00,8
9510,100.00,8
9523,100.00,8
9535,100.00,8
9548,100.00,8
9561,100.00,8
9573,100.00,8
9586,100.00,8
9598,100.00,8
9611,100.00,8
9623,100.00,8
9636,100.00,8
9648,100.00,8
9661,100.00,8
9673,100.00,8
9685,100.00,8
9698,100.00,8
9711,100.00,8
9723,100.00,8
9735,100.00,8
9748,100.00,8
9760,100.00,8
9773,100.00,8
9785,100.00,8
9798,100.00,8
9810,100.00,8
9823,100.00,8
9835,100.00,8
9848,100.00,8
9860,100.00,8
9873,100.00,8
9886,100.00,8
9898,100.00,8
9911,100.00,8
9923,100.00,8
9936,100.00,8
9948,100.00,8
9961,100.00,8
9973,100.00,8
9985,100.00,8
9998,100.00,8
10010,100.00,8
10022,100.00,8
10033,100.00,8
10044,100.00,8
10056,100.00,8
10069,100.00,8
10081,100.00,8
10092,100.00,8
10105,100.00,8
10116,100.00,8
10127,100.00,8
10140,100.00,8
10152,100.00,8
10165,100.00,8
10177,100.00,8
10190,100.00,8
10202,100.00,8
10215,100.00,8
10227,100.00,8
10240,100.00,8
10252,100.00,8
10265,100.00,8
10277,100.00,8
10290,100.00,8
10302,100.00,8
10315,100.00,8
10327,100.00,8
10340,100.00,8
10352,80.00,8
10365,80.00,8
10377,80.00,8
10390,100.00,8
10401,100.00,8
10413,100.00,8
10426,100.00,8
10438,100.00,8
10451,100.00,8
10462,100.00,8
10475,100.00,8
10487,100.00,8
10498,100.00,8
10510,100.00,8
10522,100.00,8
10533,100.00,8
10544,100.00,8
10556,100.00,8
10569,100.00,8
10582,100.00,8
10594,100.00,8
10607,100.00,8
10618,100.00,8
10631,100.00,8
10643,100.00,8
10653,100.00,8
10666,100.00,8
10677,100.00,8
10690,100.00,8
10702,100.00,8
10715,100.00,8
10727,100.00,8
10740,100.00,8
10752,100.00,8
10765,100.00,8
10777,100.00,8
10790,100.00,8
10802,100.00,8
10815,100.00,8
10830,100.00,8
10843,100.00,8
10855,100.00,8
10867,100.00,8
10880,100.00,8
10891,100.00,8
10903,100.00,8
10916,100.00,8
10928,100.00,8
10941,100.00,8
10953,100.00,8
10965,100.00,8
10977,100.00,8
10990,100.00,8
11002,100.00,8
11015,100.00,8
11027,100.00,8
11040,100.00,8
11052,100.00,8
11065,100.00,8
11077,100.00,8
11090,100.00,8
11102,100.00,8
11115,100.00,8
11125,100.00,8
11135,80.00,8
11148,80.00,8
11160,100.00,8
11173,100.00,8
11185,100.00,8
11198,100.00,8
